id,lith,goal
1,DENSE,0
2,ARGILLIT,0
3,DENSE,0
4,DENSE,0
5,SAND,1
6,SAND,1
7,ARGILLIT,0
8,ARGILLIT,0
9,ARGILLIT,0
10,SAND,1
11,SAND,1
12,SAND,1
13,SAND,1
14,SAND,1
15,SAND,1
16,SAND,1
17,SAND,1
18,SAND,1
19,SAND,1
20,SAND,1
21,SAND,1
22,SAND,1
23,SAND,1
24,SAND,1
25,SAND,1
26,SAND,1
27,SAND,1
28,SAND,1
29,SAND,1
30,SAND,1
31,SAND,1
32,SAND,1
33,SAND,1
34,SAND,1
35,SAND,1
36,SAND,1
37,SAND,1
38,SAND,1
39,SAND,1
40,SAND,1
41,SAND,1
42,SAND,1
43,SAND,1
44,SAND,1
45,SAND,1
46,SAND,1
47,SAND,1
48,SAND,1
49,SAND,1
50,SAND,1
51,SAND,1
52,SAND,1
53,SAND,1
54,SAND,1
55,SAND,1
56,SAND,1
57,SAND,1
58,ARGILLIT,0
59,ARGILLIT,0
60,ARGILLIT,0
61,ARGILLIT,0
62,ARGILLIT,0
63,ALEVROLIT,0
64,SAND,1
65,ARGILLIT,0
66,ARGILLIT,0
67,ARGILLIT,0
68,SAND,1
69,SAND,1
70,SAND,1
71,SAND,1
72,SAND,1
73,SAND,1
74,SAND,1
75,SAND,1
76,SAND,1
77,SAND,1
78,SAND,1
79,SAND,1
80,SAND,1
81,SAND,1
82,SAND,1
83,SAND,1
84,SAND,1
85,SAND,1
86,SAND,1
87,SAND,1
88,SAND,1
89,ARGILLIT,0
90,ARGILLIT,0
91,ARGILLIT,0
92,ARGILLIT,0
93,ARGILLIT,0
94,SAND,1
95,SAND,1
96,SAND,1
97,ARGILLIT,0
98,ARGILLIT,0
99,SAND,1
100,ARGILLIT,0
101,ARGILLIT,0
102,ARGILLIT,0
103,ARGILLIT,0
104,ARGILLIT,0
105,ARGILLIT,0
106,ARGILLIT,0
107,ARGILLIT,0
108,ARGILLIT,0
109,ARGILLIT,0
110,ARGILLIT,0
111,ARGILLIT,0
112,ARGILLIT,0
113,ARGILLIT,0
114,ARGILLIT,0
115,ARGILLIT,0
116,ALEVROLIT,0
117,SAND,1
118,SAND,1
119,SAND,1
120,SAND,1
121,ARGILLIT,0
122,ARGILLIT,0
123,ARGILLIT,0
124,ARGILLIT,0
125,ARGILLIT,0
126,ARGILLIT,0
127,ARGILLIT,0
128,ARGILLIT,0
129,ARGILLIT,0
130,ARGILLIT,0
131,ARGILLIT,0
132,ARGILLIT,0
133,ARGILLIT,0
134,ARGILLIT,0
135,ARGILLIT,0
136,ARGILLIT,0
137,ARGILLIT,0
138,ARGILLIT,0
139,ARGILLIT,0
140,ARGILLIT,0
141,ARGILLIT,0
142,ARGILLIT,0
143,ARGILLIT,0
144,ARGILLIT,0
145,ARGILLIT,0
146,ARGILLIT,0
147,ARGILLIT,0
148,ARGILLIT,0
149,ARGILLIT,0
150,ALEVROLIT,0
151,DENSE,0
152,DENSE,0
153,SAND,1
154,SAND,1
155,SAND,1
156,SAND,1
157,SAND,1
158,SAND,1
159,SAND,1
160,SAND,1
161,SAND,1
162,SAND,1
163,SAND,1
164,SAND,1
165,SAND,1
166,SAND,1
167,DENSE,0
168,SAND,1
169,SAND,1
170,SAND,1
171,SAND,1
172,SAND,1
173,SAND,1
174,SAND,1
175,SAND,1
176,SAND,1
177,SAND,1
178,SAND,1
179,SAND,1
180,SAND,1
181,SAND,1
182,SAND,1
183,SAND,1
184,ARGILLIT,0
185,DENSE,0
186,SAND,1
187,SAND,1
188,SAND,1
189,SAND,1
190,SAND,1
191,SAND,1
192,SAND,1
193,SAND,1
194,DENSE,0
195,DENSE,0
196,SAND,1
197,SAND,1
198,SAND,1
199,SAND,1
200,SAND,1
201,ARGILLIT,0
202,SAND,1
203,SAND,1
204,ARGILLIT,0
205,ALEVROLIT,0
206,ALEVROLIT,0
207,ARGILLIT,0
208,ARGILLIT,0
209,ARGILLIT,0
210,ARGILLIT,0
211,ARGILLIT,0
212,ARGILLIT,0
213,ARGILLIT,0
214,ARGILLIT,0
215,ARGILLIT,0
216,ARGILLIT,0
217,ARGILLIT,0
218,DENSE,0
219,DENSE,0
220,ARGILLIT,0
221,ARGILLIT,0
222,SAND,1
223,ARGILLIT,0
224,ARGILLIT,0
225,ARGILLIT,0
226,ARGILLIT,0
227,SAND,1
228,ARGILLIT,0
229,ALEVROLIT,0
230,SAND,1
231,SAND,1
232,SAND,1
233,SAND,1
234,SAND,1
235,SAND,1
236,ARGILLIT,0
237,ARGILLIT,0
238,ARGILLIT,0
239,ARGILLIT,0
240,ARGILLIT,0
241,ARGILLIT,0
242,ARGILLIT,0
243,ARGILLIT,0
244,ARGILLIT,0
245,ARGILLIT,0
246,ARGILLIT,0
247,ARGILLIT,0
248,ARGILLIT,0
249,ARGILLIT,0
250,ARGILLIT,0
251,ARGILLIT,0
252,ARGILLIT,0
253,ARGILLIT,0
254,ARGILLIT,0
255,ARGILLIT,0
256,ARGILLIT,0
257,ARGILLIT,0
258,ARGILLIT,0
259,ARGILLIT,0
260,ARGILLIT,0
261,ARGILLIT,0
262,ARGILLIT,0
263,ARGILLIT,0
264,ARGILLIT,0
265,ARGILLIT,0
266,ARGILLIT,0
267,ARGILLIT,0
268,ARGILLIT,0
269,ARGILLIT,0
270,ARGILLIT,0
271,ARGILLIT,0
272,ARGILLIT,0
273,ARGILLIT,0
274,ARGILLIT,0
275,ARGILLIT,0
276,ARGILLIT,0
277,ARGILLIT,0
278,ARGILLIT,0
279,ARGILLIT,0
280,ARGILLIT,0
281,ARGILLIT,0
282,ARGILLIT,0
283,ARGILLIT,0
284,ARGILLIT,0
285,ARGILLIT,0
286,ARGILLIT,0
287,ARGILLIT,0
288,ARGILLIT,0
289,ARGILLIT,0
290,ARGILLIT,0
291,ARGILLIT,0
292,ARGILLIT,0
293,DENSE,0
294,DENSE,0
295,DENSE,0
296,DENSE,0
297,DENSE,0
298,DENSE,0
299,DENSE,0
300,DENSE,0
301,DENSE,0
302,DENSE,0
303,DENSE,0
304,DENSE,0
305,DENSE,0
306,DENSE,0
307,DENSE,0
308,DENSE,0
309,DENSE,0
310,DENSE,0
311,DENSE,0
312,ARGILLIT,0
313,ARGILLIT,0
314,ARGILLIT,0
315,ARGILLIT,0
316,ARGILLIT,0
317,ARGILLIT,0
318,ARGILLIT,0
319,ARGILLIT,0
320,ARGILLIT,0
321,ARGILLIT,0
322,ARGILLIT,0
323,ARGILLIT,0
324,ARGILLIT,0
325,ARGILLIT,0
326,ARGILLIT,0
327,ARGILLIT,0
328,ARGILLIT,0
329,ARGILLIT,0
330,ARGILLIT,0
331,ARGILLIT,0
332,ARGILLIT,0
333,ARGILLIT,0
334,ARGILLIT,0
335,ARGILLIT,0
336,ARGILLIT,0
337,ARGILLIT,0
338,ARGILLIT,0
339,ARGILLIT,0
340,ARGILLIT,0
341,ARGILLIT,0
342,ARGILLIT,0
343,ARGILLIT,0
344,ARGILLIT,0
345,ARGILLIT,0
346,ARGILLIT,0
347,ARGILLIT,0
348,ARGILLIT,0
349,ARGILLIT,0
350,ARGILLIT,0
351,ARGILLIT,0
352,ARGILLIT,0
353,ARGILLIT,0
354,ARGILLIT,0
355,ARGILLIT,0
356,ARGILLIT,0
357,ARGILLIT,0
